timepoint(minutes) well1 well2 well3 well4 well5 well6
0 20.5009 20.7186 20.6593 20.5766 20.6442 20.5182
5 20.4009 20.699 20.6137 20.5699 20.5783 20.4147
10 20.4113 20.7223 20.6203 20.6137 20.6023 20.4508
15 20.5061 20.7737 20.7032 20.6831 20.6815 20.5544
20 20.6676 20.8189 20.7647 20.7485 20.7472 20.6536
25 20.8366 20.8954 20.874 20.8666 20.8628 20.8294
30 20.9328 20.9508 20.9397 20.9407 20.9408 20.9279
35 21.0066 21.009 21.0017 20.9933 21.0015 21.0023
40 21.0924 21.0522 21.0696 21.0676 21.0762 21.0838
45 21.1335 21.0933 21.1162 21.1332 21.12 21.1587
50 10.1828 6.63849 6.66078 6.17786 4.90442 5.5444
55 6.98598 3.77227 3.84889 3.34545 2.60266 3.91091
60 6.52425 2.71938 2.58634 2.09962 1.72849 3.77943
65 6.5039 2.17324 1.93291 1.4703 1.3765 3.66937
70 6.49543 1.79974 1.6148 1.14585 1.32869 3.62255
75 6.47399 1.41817 1.43198 0.957263 1.42239 3.66237
80 6.42462 1.13534 1.30924 0.833494 1.47779 3.66152
85 6.38545 0.933816 1.22854 0.747038 1.47695 3.63506
90 6.31733 0.788472 1.16436 0.680191 1.48239 3.63535
95 6.26805 0.724231 1.05045 0.624005 1.42059 3.62307
100 6.28822 0.68089 0.817643 0.529166 1.36163 3.60674
105 6.35336 0.534124 0.611755 0.423772 1.44726 3.59333
110 6.40466 0.27246 0.485993 0.345582 1.483 3.58059
115 6.36733 0.0920791 0.401085 0.28231 1.48397 3.59221
120 6.33214 0.00442175 0.343658 0.228418 1.99239 3.44795
125 6.34561 0.0360852 0.288534 0.168438 3.13877 2.83184
130 6.34164 0.267032 0.2584 0.143299 3.65159 2.73453
135 6.40547 0.52256 0.230844 0.129087 3.87751 2.73271
140 6.51602 0.742513 0.206948 0.144341 3.97474 2.72026
145 6.57586 0.967865 0.196273 0.127962 4.09032 2.62516
150 6.73147 1.25372 0.652642 0.114827 3.61836 2.62722
155 6.83103 1.62862 2.72985 0.151984 3.19775 2.6178
160 6.85233 1.99394 3.60086 0.190982 2.96949 2.57185
165 6.84494 2.61433 3.54415 0.218462 2.78518 2.49032
170 6.80396 3.8668 3.06416 0.241044 2.64706 2.4117
175 6.76774 4.37716 2.80084 0.248209 2.54278 2.36058
180 6.76314 4.59095 2.70079 0.239718 2.47051 2.32387
185 6.71989 4.6269 2.66818 0.216526 2.38061 2.26336
190 6.67216 4.61883 2.67071 0.189056 2.32384 2.27004
195 6.67703 4.54343 2.68065 0.169222 2.29615 2.27959
200 6.60584 4.46181 2.66633 0.157028 2.25877 2.26512
205 6.2926 4.39396 2.63952 0.141217 2.23311 2.25322
210 6.17223 4.3385 2.60778 0.126318 2.20403 2.22969
215 6.15692 4.29499 2.56406 0.117762 2.21241 2.2471
220 6.18193 4.31368 2.53531 0.120094 2.2403 2.28308
225 6.19532 4.29775 2.50342 0.114654 2.2323 2.28628
230 6.15861 4.29469 2.48177 0.113101 2.25143 2.3168
235 6.11475 4.31526 2.48267 0.112497 2.28877 2.32768
240 6.09594 4.3254 2.48245 0.109134 2.27007 2.29086
245 6.11869 4.27473 2.48099 0.104136 2.27103 2.29341
250 6.09835 4.06935 2.47629 0.102069 2.28044 2.3048
