Calibrations:
"X:", 2, "Y:", 2, "Units:", "pixel", "Gray Units:", ""
"Image Plane", "Average Intensity"
1, 1318.14
2, 1317.11
3, 1316.96
4, 1316.83
5, 1316.55
6, 1316.4
7, 1316.08
8, 1315.61
9, 1315.68
10, 1315.07
1, 1261.74
2, 1261.8
3, 1261.7
4, 1261.48
5, 1261.29
6, 1261.39
7, 1261.01
8, 1260.86
9, 1260.4
10, 1260.21
1, 1370.78
2, 1370.65
3, 1370.4
4, 1370.2
5, 1370.24
6, 1369.84
7, 1369.45
8, 1368.99
9, 1368.99
10, 1368.51
1, 1226.77
2, 1226.69
3, 1226.19
4, 1225.66
5, 1225.36
6, 1224.82
7, 1224.14
8, 1223.52
9, 1222.98
10, 1222.55
1, 1207.19
2, 1207.21
3, 1206.9
4, 1206.98
5, 1207.02
6, 1206.61
7, 1206.32
8, 1206.2
9, 1206.1
10, 1205.82
1, 1036.21
2, 1036
3, 1035.96
4, 1035.71
5, 1035.6
6, 1035.39
7, 1035.03
8, 1034.66
9, 1034.3
10, 1034.17
"Image Plane", "Average Intensity"
1, 397.279
2, 397.543
3, 397.852
4, 397.074
5, 396.13
6, 394.99
7, 394.008
8, 393.324
9, 393.165
10, 393.372
11, 507.402
12, 635.654
13, 704.166
14, 725.388
15, 733.697
16, 738.048
17, 733.339
18, 724.576
19, 718.573
20, 712.308
21, 707.557
22, 705.629
23, 705.096
24, 703.2
25, 701.919
26, 701.866
27, 701.803
28, 701.999
29, 703.371
30, 703.878
31, 703.391
32, 702.342
33, 702.382
34, 702.553
35, 701.33
36, 700.073
37, 700.122
38, 700.867
39, 700.885
40, 699.162
41, 695.652
42, 692.011
43, 689.27
44, 688.608
45, 689.251
46, 688.396
47, 687.513
48, 687.369
49, 685.272
50, 683.516
51, 681.353
52, 678.222
53, 679.393
54, 691.289
55, 702.168
56, 711.702
57, 723.197
58, 746.312
59, 768.732
60, 786.585
61, 802.01
62, 811.124
63, 819.192
64, 826.356
65, 832.739
66, 841.279
67, 849.438
68, 855.094
69, 854.738
70, 851.081
71, 847.194
72, 844.643
73, 843.762
74, 845.303
75, 848.179
76, 850.488
77, 852.687
78, 854.988
79, 856.138
80, 856.415
81, 858.907
82, 863.111
83, 869.752
84, 876.027
85, 880.128
86, 883.962
87, 886.873
88, 889.888
89, 892.519
90, 895.958
91, 898.409
92, 900.099
93, 903.021
94, 903.986
95, 904.629
96, 905.566
97, 907.55
98, 909.767
99, 911.066
100, 912.51
101, 914.116
102, 918.396
103, 919.736
104, 919.57
105, 919.496
106, 921.554
107, 922.846
108, 923.948
109, 924.039
110, 924.038
111, 925.877
112, 927.439
113, 928.823
114, 929.92
115, 930.77
116, 932.692
117, 933.582
118, 934.139
119, 934.937
120, 936.367
121, 936.853
122, 937.799
123, 939.549
124, 942.18
125, 942.716
126, 943.201
127, 943.355
128, 943.895
129, 944.935
130, 946.534
131, 948.082
132, 948.199
133, 949.327
134, 951.125
135, 952.191
136, 953.92
137, 955.555
138, 956.175
139, 956.089
140, 956.603
141, 958.634
142, 960.768
143, 963.526
144, 965.172
145, 965.571
1, 387.817
2, 390.388
3, 392.685
4, 395.873
5, 399.014
6, 396.522
7, 394.827
8, 393.558
9, 392.718
10, 392.544
11, 609.399
12, 739.968
13, 832.556
14, 890.791
15, 934.747
16, 965.056
17, 986.653
18, 1009.52
19, 1033.95
20, 1048.93
21, 1058.1
22, 1068.28
23, 1075.99
24, 1080.49
25, 1082.85
26, 1084.37
27, 1084.91
28, 1086.97
29, 1089.11
30, 1092.24
31, 1096.56
32, 1103.42
33, 1109.41
34, 1112.87
35, 1113.56
36, 1112.13
37, 1110.49
38, 1109.45
39, 1107.84
40, 1104.6
41, 1100.87
42, 1096.82
43, 1094.66
44, 1094.08
45, 1094.7
46, 1095.56
47, 1095.6
48, 1095.32
49, 1094.7
50, 1092.72
51, 1086.32
52, 1076.49
53, 1061.61
54, 1020.43
55, 952.656
56, 892.872
57, 834.806
58, 779.008
59, 760.231
60, 754.682
61, 748.651
62, 746.764
63, 745.81
64, 742.88
65, 740.734
66, 741.951
67, 743.636
68, 743.385
69, 758.741
70, 803.976
71, 803.315
72, 785.189
73, 774.297
74, 773.308
75, 777.422
76, 780.199
77, 779.607
78, 779.578
79, 778.337
80, 796.441
81, 845.762
82, 897.503
83, 938.571
84, 965.881
85, 983.573
86, 995.28
87, 1003.81
88, 1011.09
89, 1016.04
90, 1020.64
91, 1024.81
92, 1028.1
93, 1032.61
94, 1034.56
95, 1028.4
96, 1019.6
97, 1023.44
98, 1028.79
99, 1032.44
100, 1036.22
101, 1040.43
102, 1042.99
103, 1045.1
104, 1046.87
105, 1048.04
106, 1050.06
107, 1051.4
108, 1052.46
109, 1053.59
110, 1054.3
111, 1055.32
112, 1055.91
113, 1056.59
114, 1057.47
115, 1057.91
116, 1058.38
117, 1058.79
118, 1059
119, 1059.74
120, 1060.67
121, 1061.33
122, 1061.92
123, 1063.11
124, 1064.18
125, 1064.45
126, 1065.3
127, 1066.12
128, 1067.38
129, 1068.91
130, 1069.77
131, 1070.06
132, 1070.4
133, 1070.77
134, 1071.94
135, 1072.16
136, 1072.4
137, 1073.21
138, 1073.25
139, 1073.87
140, 1073.85
141, 1073.93
142, 1074.25
143, 1074.7
144, 1075.07
145, 1072.18
1, 446.323
2, 446.156
3, 446.08
4, 445.921
5, 445.453
6, 445.05
7, 444.469
8, 443.804
9, 443.204
10, 442.876
11, 735.814
12, 893.78
13, 988.16
14, 1029.77
15, 1042.25
16, 1047.55
17, 1056.36
18, 1081.19
19, 1119.07
20, 1162.1
21, 1193.37
22, 1217.12
23, 1234.53
24, 1247.21
25, 1256.27
26, 1262.69
27, 1267.64
28, 1273.54
29, 1282.14
30, 1287.85
31, 1290.59
32, 1292.97
33, 1295.88
34, 1298.66
35, 1301.17
36, 1303.87
37, 1306.71
38, 1309.76
39, 1311.62
40, 1311.55
41, 1311.28
42, 1310.6
43, 1310.5
44, 1311.88
45, 1313.84
46, 1314.96
47, 1315.78
48, 1317.6
49, 1319.94
50, 1320.55
51, 1321.8
52, 1324.8
53, 1324.53
54, 1325.09
55, 1309.82
56, 1297.1
57, 1234.19
58, 1115.28
59, 1015.99
60, 972.161
61, 943.704
62, 923.727
63, 912.941
64, 905.651
65, 898.824
66, 894.564
67, 891.92
68, 887.388
69, 907.062
70, 966.564
71, 1022.81
72, 1064.93
73, 1096.41
74, 1119.78
75, 1137.35
76, 1149.55
77, 1158.78
78, 1165.8
79, 1170.1
80, 1172.85
81, 1176.54
82, 1180.98
83, 1188.41
84, 1196.71
85, 1202.48
86, 1206.79
87, 1210.97
88, 1214.88
89, 1217.71
90, 1219.48
91, 1220.37
92, 1220.93
93, 1222.08
94, 1213.8
95, 1196.26
96, 1187.23
97, 1187.27
98, 1189.84
99, 1192.24
100, 1194.99
101, 1198.47
102, 1200.57
103, 1202.37
104, 1203.91
105, 1204.96
106, 1206.84
107, 1207.53
108, 1208.21
109, 1208.59
110, 1209.38
111, 1209.86
112, 1209.76
113, 1210.7
114, 1211.33
115, 1211.64
116, 1211.18
117, 1211.09
118, 1210.47
119, 1210.55
120, 1211
121, 1211.05
122, 1211.64
123, 1212.19
124, 1212.94
125, 1213.62
126, 1214.47
127, 1215.9
128, 1217.56
129, 1219.04
130, 1219.91
131, 1220.49
132, 1219.99
133, 1220.57
134, 1221.77
135, 1221.81
136, 1222.37
137, 1223.15
138, 1223.38
139, 1224.18
140, 1224.76
141, 1224
142, 1224.06
143, 1223.99
144, 1224.05
145, 1215.36
1, 405.086
2, 404.759
3, 404.521
4, 403.957
5, 403.516
6, 402.839
7, 402.256
8, 401.767
9, 401.387
10, 401.302
11, 706.634
12, 851.237
13, 948.747
14, 1007.28
15, 1043.2
16, 1064.96
17, 1076.31
18, 1094.71
19, 1112.15
20, 1130.61
21, 1143.04
22, 1153.99
23, 1163.39
24, 1170.79
25, 1177.35
26, 1182.99
27, 1188.04
28, 1191.8
29, 1196.75
30, 1201.53
31, 1205.11
32, 1207.4
33, 1208.32
34, 1208.87
35, 1208.61
36, 1209.09
37, 1209.57
38, 1212.03
39, 1212.72
40, 1212.78
41, 1213
42, 1212.18
43, 1211.29
44, 1212.23
45, 1211.17
46, 1210.71
47, 1211.93
48, 1214.36
49, 1215.97
50, 1216
51, 1215.58
52, 1216.51
53, 1211.85
54, 1211.59
55, 1182.4
56, 1135.08
57, 1113.63
58, 1106.2
59, 1104.72
60, 1100.12
61, 1104.2
62, 1104.17
63, 1106.47
64, 1108.5
65, 1105.38
66, 1104.51
67, 1102.26
68, 1100.73
69, 1096.93
70, 1091.54
71, 1086.99
72, 1085.14
73, 1086.49
74, 1089.74
75, 1094.33
76, 1096.29
77, 1097.96
78, 1099.31
79, 1100.21
80, 1099.75
81, 1099.64
82, 1098.18
83, 1098.63
84, 1098.93
85, 1097.36
86, 1096.36
87, 1096.31
88, 1096.63
89, 1096.99
90, 1096.7
91, 1096.16
92, 1096.01
93, 1097.3
94, 1081.54
95, 1058.04
96, 1048.93
97, 1046.9
98, 1048.41
99, 1050.84
100, 1053.75
101, 1056.38
102, 1058.1
103, 1059.9
104, 1061.01
105, 1061.42
106, 1062.71
107, 1062.6
108, 1062.95
109, 1063.04
110, 1063.34
111, 1063.92
112, 1063.76
113, 1063.66
114, 1063.92
115, 1063.9
116, 1063.54
117, 1063.58
118, 1063.86
119, 1064
120, 1064.16
121, 1063.85
122, 1063.82
123, 1064.71
124, 1065.43
125, 1065.92
126, 1067.82
127, 1068.77
128, 1069.94
129, 1070.14
130, 1070.9
131, 1071.95
132, 1072.42
133, 1072.27
134, 1071.99
135, 1072.47
136, 1073.11
137, 1074.49
138, 1074.95
139, 1075.57
140, 1076.63
141, 1077.04
142, 1077.34
143, 1077.3
144, 1077.37
145, 1069.13
1, 427.251
2, 427.893
3, 427.887
4, 427.498
5, 426.75
6, 425.981
7, 425.336
8, 424.753
9, 424.23
10, 424.167
11, 786.453
12, 929.411
13, 1005.55
14, 1044.46
15, 1066.99
16, 1085.19
17, 1096.4
18, 1118.52
19, 1134.83
20, 1153.65
21, 1164.56
22, 1174.6
23, 1182.81
24, 1190.29
25, 1197.35
26, 1205.2
27, 1211.1
28, 1214.93
29, 1218.54
30, 1217.13
31, 1212.28
32, 1210.12
33, 1209.53
34, 1209.62
35, 1210.45
36, 1207.67
37, 1187.58
38, 1138.24
39, 1086.78
40, 1052.99
41, 1031.19
42, 1016.43
43, 1007.98
44, 1001.31
45, 987.233
46, 982.405
47, 976.386
48, 965.373
49, 964.427
50, 951.998
51, 944.445
52, 948.178
53, 947.354
54, 939.048
55, 955.457
56, 994.487
57, 1020.88
58, 1039.89
59, 1051.78
60, 1051.8
61, 1057.86
62, 1059.74
63, 1066.51
64, 1073.64
65, 1070.58
66, 1069.25
67, 1065.45
68, 1063.62
69, 1058.6
70, 1052.21
71, 1044.02
72, 1038.26
73, 1033.32
74, 1032.26
75, 1033.81
76, 1033.63
77, 1033.54
78, 1032.78
79, 1030.03
80, 1025.89
81, 1021.82
82, 1018.98
83, 1018.61
84, 1016.92
85, 1013.99
86, 1011.97
87, 1011.29
88, 1010.97
89, 1010.65
90, 1009.87
91, 1009.56
92, 1009.37
93, 1011.74
94, 987.571
95, 943.558
96, 928.765
97, 921.875
98, 919.312
99, 919.483
100, 921.788
101, 926.899
102, 930.355
103, 933.431
104, 934.253
105, 934.496
106, 934.441
107, 934.004
108, 933.237
109, 932.772
110, 932.181
111, 932.989
112, 932.369
113, 931.67
114, 932.7
115, 932.658
116, 931.647
117, 931.794
118, 931.951
119, 932.501
120, 932.766
121, 933.925
122, 934.488
123, 936.65
124, 938.347
125, 941.546
126, 948.107
127, 951.755
128, 954.961
129, 956.889
130, 959.169
131, 962.682
132, 964.374
133, 964.669
134, 963.543
135, 964.45
136, 966.143
137, 969.049
138, 971.352
139, 973.811
140, 976.814
141, 978.636
142, 980.098
143, 979.076
144, 978.898
145, 968.297
1, 373.719
2, 374.277
3, 374.711
4, 374.972
5, 374.874
6, 374.09
7, 372.992
8, 372.034
9, 371.33
10, 371.006
11, 688.843
12, 790.086
13, 804.64
14, 809.408
15, 814.355
16, 818.953
17, 820.918
18, 831.934
19, 835.168
20, 848.134
21, 851.711
22, 855.813
23, 857.829
24, 857.274
25, 856.176
26, 852.793
27, 853.586
28, 851.551
29, 852.827
30, 853.434
31, 851.874
32, 849.091
33, 847.49
34, 844.293
35, 845.232
36, 843.178
37, 847.439
38, 867.787
39, 882.28
40, 879.879
41, 871.537
42, 865.964
43, 863.782
44, 863.512
45, 865.04
46, 868.523
47, 873.812
48, 876.405
49, 885.656
50, 890.804
51, 893.458
52, 900.688
53, 907.495
54, 909.134
55, 911.382
56, 913.711
57, 911.015
58, 904.219
59, 895.787
60, 875.861
61, 855.378
62, 838.835
63, 827.15
64, 815.696
65, 797.64
66, 778.076
67, 763.713
68, 752.523
69, 741.013
70, 730.514
71, 720.755
72, 715.463
73, 711.663
74, 712.517
75, 714.714
76, 714.162
77, 712.673
78, 709.631
79, 705.775
80, 703.28
81, 701.842
82, 702.977
83, 703.03
84, 701.783
85, 700.011
86, 699.006
87, 698.165
88, 698.321
89, 698.869
90, 698.432
91, 699.965
92, 700.251
93, 701.278
94, 684.32
95, 644.279
96, 620.403
97, 612.716
98, 609.677
99, 608.391
100, 610.161
101, 612.815
102, 611.688
103, 612.123
104, 611.645
105, 612.548
106, 611.554
107, 611.886
108, 611.776
109, 611.724
110, 611.868
111, 612.664
112, 612.442
113, 612.96
114, 614.833
115, 613.992
116, 612.134
117, 612.409
118, 612.905
119, 614.57
120, 614.6
121, 616.211
122, 615.385
123, 617.663
124, 619.245
125, 620.959
126, 624.089
127, 623.383
128, 623.523
129, 624.24
130, 626.693
131, 628.516
132, 627.837
133, 627.339
134, 625.899
135, 629.17
136, 630.976
137, 632.708
138, 632.726
139, 633.075
140, 635.024
141, 632.954
142, 631.903
143, 629.987
144, 631.26
145, 627.302
