Calibrations:
"X:", 2, "Y:", 2, "Units:", "pixel", "Gray Units:", ""
"Image Plane", "Average Intensity"
1, 400.627
2, 397.77
3, 396.66
4, 395.971
5, 397.809
6, 393.385
7, 392.918
8, 391.649
9, 390.924
10, 390.472
11, 390.196
12, 652.854
13, 762.165
14, 781.948
15, 788.975
16, 792.873
17, 794.746
18, 796.998
19, 796.498
20, 796.071
21, 794.647
22, 795.742
23, 796.458
24, 796.738
25, 797.104
26, 797.582
27, 798.554
28, 799.848
29, 801.86
30, 802.322
31, 802.471
32, 802.642
33, 804.78
34, 807.195
35, 809.975
36, 814.01
37, 823.53
38, 848.202
39, 863.966
40, 872.333
41, 875.695
42, 877.261
43, 880.268
44, 883.231
45, 888.486
46, 894.49
47, 902.05
48, 909.953
49, 913.073
50, 912.52
51, 911.124
52, 914.827
53, 949.139
54, 993.257
55, 1023.87
56, 1040.6
57, 1049.2
58, 1054.55
59, 1057.51
60, 1056.59
61, 1055.52
62, 1056.96
63, 1058.02
64, 1057.74
65, 1058.47
66, 1061.21
67, 1061.74
68, 1061.1
69, 1061.51
70, 1063.5
71, 1064.61
72, 1066.13
73, 1067.68
74, 1067.21
75, 1067.32
76, 1068.29
77, 1069.6
78, 1071.48
79, 1073.24
80, 1075.65
81, 1078.42
82, 1080.25
83, 1082.81
84, 1085.21
85, 1087.66
86, 1089.76
87, 1090.94
88, 1091.12
89, 1090.7
90, 1090.8
91, 1091.58
92, 1093.4
93, 1094.95
94, 1095.48
95, 1095.03
96, 1095.58
97, 1095.7
98, 1095.89
99, 1095.49
100, 1095.36
101, 1095.51
102, 1095.41
103, 1096.09
104, 1096.05
105, 1096.24
106, 1096.22
107, 1097.07
108, 1098.48
109, 1099.64
110, 1098.98
111, 1099.02
112, 1100.24
113, 1101.33
114, 1101.69
115, 1101.1
116, 1100.75
117, 1100.78
118, 1101.18
119, 1101.79
120, 1102.95
121, 1103.7
122, 1104.02
123, 1104.46
124, 1104.46
125, 1103.73
126, 1103.91
127, 1104.85
128, 1106
129, 1105.67
130, 1107.17
131, 1115.29
132, 1125.06
133, 1130.08
134, 1133.47
135, 1140.75
136, 1145.78
137, 1147.89
138, 1147.22
139, 1147.25
140, 1151.31
141, 1153.19
142, 1153.54
143, 1152.03
144, 1151.76
145, 1157
1, 405.841
2, 403.713
3, 403.226
4, 402.481
5, 404.763
6, 396.939
7, 396.036
8, 395.012
9, 394.418
10, 393.652
11, 393.345
12, 755.253
13, 924.174
14, 1024.2
15, 1091.6
16, 1135.54
17, 1164.13
18, 1184.21
19, 1198.32
20, 1207.75
21, 1214.57
22, 1219.61
23, 1221.06
24, 1218.47
25, 1207.06
26, 1189.49
27, 1166.74
28, 1142.48
29, 1114.16
30, 1090.84
31, 1046.99
32, 988.241
33, 984.639
34, 970.025
35, 945.149
36, 935.961
37, 937.776
38, 951.86
39, 955.021
40, 959.967
41, 966.656
42, 976.703
43, 990.323
44, 1024.18
45, 1059.07
46, 1080.02
47, 1093.95
48, 1107.31
49, 1123.21
50, 1146.2
51, 1164.06
52, 1177.09
53, 1186.89
54, 1193.75
55, 1201.81
56, 1207.86
57, 1210.83
58, 1212.95
59, 1214.58
60, 1213.71
61, 1212.98
62, 1213.75
63, 1214.6
64, 1214.68
65, 1215.33
66, 1217.53
67, 1217.76
68, 1218.04
69, 1219.31
70, 1220.29
71, 1221.04
72, 1222.29
73, 1224.22
74, 1224.57
75, 1225.33
76, 1227.26
77, 1230.12
78, 1234.15
79, 1237.95
80, 1241.19
81, 1244.33
82, 1246.62
83, 1248.1
84, 1249.19
85, 1250.22
86, 1252.23
87, 1254.65
88, 1255.71
89, 1256.62
90, 1256.69
91, 1257.43
92, 1258.14
93, 1258.55
94, 1258.26
95, 1257.68
96, 1257.88
97, 1258.62
98, 1260.12
99, 1261.05
100, 1262.61
101, 1263.23
102, 1264.74
103, 1265.33
104, 1265.59
105, 1266.15
106, 1267.31
107, 1269.16
108, 1271.08
109, 1272.81
110, 1273.8
111, 1274
112, 1273.95
113, 1274.02
114, 1274.26
115, 1274.92
116, 1275.17
117, 1276.71
118, 1277.75
119, 1277.58
120, 1277.4
121, 1277.71
122, 1277.98
123, 1279.03
124, 1280.33
125, 1280.51
126, 1280.08
127, 1279.66
128, 1279.65
129, 1279.96
130, 1281.42
131, 1285.1
132, 1289.33
133, 1291.86
134, 1293.72
135, 1296.7
136, 1297.38
137, 1299
138, 1301.1
139, 1302.71
140, 1305.08
141, 1305.91
142, 1306.76
143, 1307.76
144, 1308.84
145, 1311.86
1, 437.049
2, 435.063
3, 435.177
4, 435.535
5, 438.076
6, 430.517
7, 429.653
8, 428.883
9, 428.047
10, 427.311
11, 427.211
12, 829.212
13, 1014.86
14, 1106.36
15, 1156.94
16, 1189.18
17, 1208.58
18, 1239.68
19, 1274.19
20, 1261.04
21, 1230.22
22, 1215.86
23, 1256.13
24, 1171.84
25, 1039.41
26, 1000.75
27, 985.441
28, 976.225
29, 972.812
30, 973.149
31, 1020.19
32, 1105.65
33, 1166.87
34, 1206.97
35, 1234.18
36, 1254.41
37, 1269.88
38, 1283.41
39, 1296.26
40, 1305.98
41, 1313.04
42, 1319.87
43, 1326.76
44, 1332.97
45, 1338.25
46, 1342.95
