Calibrations:
"X:", 2, "Y:", 2, "Units:", "pixel", "Gray Units:", ""
"Image Plane", "Average Intensity"
1, 1399.31
2, 1397.78
3, 1397.01
4, 1396.01
5, 1395.57
6, 1394.94
7, 1394.36
8, 1393.79
9, 1393.34
10, 1393.03
1, 1267.31
2, 1266.93
3, 1266.6
4, 1265.97
5, 1265.48
6, 1264.93
7, 1264.39
8, 1263.85
9, 1263.44
10, 1262.84
1, 1398.33
2, 1397.7
3, 1397.24
4, 1396.37
5, 1395.56
6, 1395.2
7, 1394.56
8, 1393.88
9, 1393.82
10, 1393.15
1, 1230.41
2, 1230.34
3, 1230.06
4, 1229.75
5, 1229.27
6, 1228.95
7, 1228.6
8, 1228.05
9, 1227.82
10, 1227.45
1, 1186.18
2, 1186.07
3, 1185.59
4, 1185.25
5, 1184.7
6, 1184.37
7, 1184.06
8, 1183.63
9, 1183.23
10, 1182.8
1, 1040.89
2, 1041.09
3, 1041.15
4, 1042.68
5, 1042.73
6, 1042.72
7, 1042.46
8, 1042.27
9, 1041.93
10, 1041.52
"Image Plane", "Average Intensity"
1, 448.276
2, 446.955
3, 446.008
4, 445.282
5, 444.638
6, 443.279
7, 442.624
8, 441.851
9, 441.256
10, 440.498
11, 825.57
12, 1002.49
13, 1097.89
14, 1153.53
15, 1194.93
16, 1226.65
17, 1252.9
18, 1271.37
19, 1284.34
20, 1293.67
21, 1300.92
22, 1306.35
23, 1311.2
24, 1314.61
25, 1317.37
26, 1319.87
27, 1323.38
28, 1325.82
29, 1326.9
30, 1319.59
31, 1262.52
32, 1189
33, 1146.72
34, 1197.64
35, 1276.37
36, 1312.74
37, 1302.37
38, 1275.36
39, 1272.87
40, 1285.22
41, 1296.24
42, 1303.58
43, 1309.46
44, 1314.41
45, 1317.18
46, 1319.74
47, 1321.75
48, 1323.16
49, 1324.52
50, 1326.04
51, 1326.18
52, 1327.64
53, 1329.42
54, 1330.5
55, 1332.01
56, 1333.39
57, 1333.79
58, 1334.45
59, 1334.8
60, 1335.21
61, 1335.45
62, 1335.07
63, 1334.37
64, 1334.75
65, 1334.63
66, 1335.58
67, 1336.14
68, 1336.87
69, 1336.97
70, 1336.85
71, 1336.77
72, 1338.12
73, 1338.27
74, 1337.22
75, 1336.94
76, 1338.25
77, 1341.46
78, 1342.82
79, 1344.18
80, 1344.55
81, 1345.03
82, 1345.54
83, 1345.3
84, 1346.43
85, 1347.74
86, 1349.1
87, 1348.68
88, 1347.61
89, 1347.69
90, 1347.38
91, 1346.96
92, 1347.74
93, 1348.43
94, 1348.15
95, 1348.01
96, 1347.31
97, 1346.4
98, 1344.82
99, 1344.92
